Product#,Figure#,Manufacturer,Product,Release Year,Product Description,product_type_id,Purchased From,purchase_price,exclusive_to_retailer_id,action_figure_description,likeness,storage_location
1,1,21st Century Toys,82nd Airborne Infantry (modern),1998,Carded set placed on generic Ultimate Soldier figure;,1,KB Toys,14.99,,,,03.03
2,2,21st Century Toys,Convention Exclusive German Desert Set,2000,"Includes Kubelwagon, Field Marshall Erwin Rommel, DAK Infantry figure; Rommel is in box 3.71",1,,,,Figure 1 of 2 duplicate figures,,03.00
2,3,21st Century Toys,Convention Exclusive German Desert Set,2000,"Includes Kubelwagon, Field Marshall Erwin Rommel, DAK Infantry figure; Rommel is in box 3.71",1,,,,Figure 2 of 2 duplicate figures,,03.00
3,4,21st Century Toys,Fireman,2000,Box not found;,1,,,,,,03.00
4,5,21st Century Toys,Mad Bomber,2001,"Three masks: clear, monkey, clown",1,,,,Clear mask on display,,window.right.bottom.upper
5,6,21st Century Toys,S.W.A.T. Commander,1999,,1,KB Toys,29.99,,,,03.00
6,7,21st Century Toys,S.W.A.T. Motorcycle and Rider,2000,,1,KB Toys,19.99,,,,03.07
7,8,21st Century Toys,U.S. Army Special Forces,1997,Carded set placed on generic Ultimate Soldier figure;,1,,,,Green beret,,window.left.lower.top
8,9,3R,Hermann Göring,2011,,1,Cotswold Collectibles,,,,Hermann Göring,TBD
9,10,Adventure Gear,Sandbox Exclusive,1998,"Desert adventure outfit on random, bearded figure;",1,Adventure Gear,,,,,03.00
10,11,Armoury,IDF Givati Recon,2003,,1,,,,,,03.14
11,12,Armoury,Osama bin Laden,2003,Armoury not identified on packaging;,1,,,,,Osama bin Laden,03.00
12,13,Armoury,Saddam Hussein,2004,"Armoury not identified on packaging; Labeled ""Most Wanted II""",1,,,,,Saddam Hussein,window.right.bottom.lower
13,14,Bandai,Ultraman B Type,2001,,1,,,,,,03.00
14,15,bbi,"101st Airborne, Corporal ""Bud"" Norris",2001,,1,Small Blue Planet,39.99,,,,window.left.top.middle
15,16,bbi,"2nd British Commando Unit, Private Robert James",2001,,1,,,,,,window.left.bottom.upper
16,17,bbi,Blaze,2000,,1,Small Blue Planet,23.99,,,,03.29
17,18,bbi,"Blue Angels 2002, Capt. Rob Ffield, No. 1 Flight Leader",2002,,1,Small Blue Planet,,,,Capt. Rob Ffield,03.11
18,19,bbi,British Paratrooper,2002,,1,,,,,,03.05
19,20,bbi,"Chinese MiG Pilot (Korean War), Squad Leader Wang Hai",2003,,1,,,,,,03.28
20,21,bbi,"F-15C Eagle Pilot ""Viper""",2001,Sunglasses broken - need repair;,1,Small Blue Planet,39.99,,,,window.right.top.middle
