,product_id,figure_id,manufacturer,product_name,year,product_descr,Product Type,seller,price,exclusive_to_retailer_id,af_descr,likeness,storage_location,Adventure,Air Force,Armor,Army,Astronaut,Avengers,Celebrity,Civilian,Coast Guard,Comics,DC Comics,Fashion,Fire Fighter,Foreign,Horror,Knight,Marines,Martial Arts,Marvel Comics,Navy,Police,RAH/Cobra,Sci-Fi,Sports,Spy,TV/Film,Warrior,Western,World Leader,X-Men,Half Decade
0,1,1,21st Century Toys,82nd Airborne Infantry (modern),1998,Carded set placed on generic Ultimate Soldier figure;,1:6 figure,KB Toys,14.99,,,,03.03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
5,5,6,21st Century Toys,S.W.A.T. Commander,1999,,1:6 figure,KB Toys,29.99,,,,03.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1995
6,6,7,21st Century Toys,S.W.A.T. Motorcycle and Rider,2000,,1:6 figure,KB Toys,19.99,,,,03.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2000
14,14,15,bbi,"101st Airborne, Corporal ""Bud"" Norris",2001,,1:6 figure,Small Blue Planet,39.99,,,,window.left.top.middle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
16,16,17,bbi,Blaze,2000,,1:6 figure,Small Blue Planet,23.99,,,,03.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000
20,20,21,bbi,"F-15C Eagle Pilot ""Viper""",2001,Sunglasses broken - need repair;,1:6 figure,Small Blue Planet,39.99,,,,window.right.top.middle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
25,24,26,bbi,Jet,2000,"Purchased complete but loose, no box;",1:6 figure,Small Blue Planet,14.99,,,,03.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2000
27,26,28,bbi,"Marine Force Recon, ""Sniper""",1999,Figure has custom facial expression mechanism;,1:6 figure,Small Blue Planet,29.99,,,,desk.right.top.upper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
30,29,31,bbi,Perfect Body,2001,Can be used for customization; Currently in original outfit; ,1:6 figure,Small Blue Planet,14.99,,,,03.36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
37,36,38,bbi,"U.S. Air Force Pararescue, Sgt. W. ""Bones"" Wilson",2002,Accessories are delicate;,1:6 figure,Small Blue Planet,39.99,,,,window.left.bottom.middle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
38,37,39,bbi,"U.S. Air Force Pararescue, Sgt. W. ""Bones"" Wilson",2002,Accessories are delicate;,1:6 figure,Small Blue Planet,39.99,,"Figure currently in a state of disarray. Head detached. Broken parts, etc.",,03.19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
39,38,40,bbi,"U.S. Marine Corps, Sergeant Dusty Rhodes",2002,,1:6 figure,Small Blue Planet,39.99,,,George Clooney,03.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
40,39,41,bbi,"U.S. Pilot, Lt. ""Doc"" Miller",2001,Needs year f release verified;,1:6 figure,Small Blue Planet,39.99,,,,03.00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
41,40,42,Blitzkrieg Toyz,"Fidel Casto, El Comandante",2001,,1:6 figure,,60.0,,,Fidel Castro,window.right.bottom.lower,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2000
42,41,43,Chronicle Books,Action Soldier (Masterpiece Edition),1996,"Includes book ""G.I. Joe: The Story Behind the Legend.""",1:6 figure,Gene's Books,60.0,,,,03.24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995
64,60,65,DC Direct/DC Collectibles,Aquaman,2006,,1:6 figure,Showcase Comics,59.99,,,,03.31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
67,63,68,DC Direct/DC Collectibles,Batman,2006,Grey & black costume,1:6 figure,Showcase Comics,69.99,,,,desk.left.top.lower,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
68,64,69,DC Direct/DC Collectibles,Batman Classic,2007,Grey & blue costume,1:6 figure,Showcase Comics,69.99,,,,desk.left.top.lower,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
69,65,70,DC Direct/DC Collectibles,Bizarro,2008,,1:6 figure,Showcase Comics,69.99,,,,03.34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
70,66,71,DC Direct/DC Collectibles,Black Canary,2008,,1:6 figure,Showcase Comics,89.99,,,,03.04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
71,67,72,DC Direct/DC Collectibles,Catwoman ,2007,,1:6 figure,Showcase Comics,69.99,,,,03.24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
72,68,73,DC Direct/DC Collectibles,Catwoman Classic,2010,,1:6 figure,Amazon,64.5,,,,03.14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
73,69,74,DC Direct/DC Collectibles,Flash,2007,,1:6 figure,Showcase Comics,59.99,,,,03.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
74,70,75,DC Direct/DC Collectibles,Green Arrow,2008,,1:6 figure,Showcase Comics,80.0,,,,03.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
75,71,76,DC Direct/DC Collectibles,Green Lantern,2006,,1:6 figure,Showcase Comics,59.99,,,,03.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
76,72,77,DC Direct/DC Collectibles,Green Lantern Corps,2008,Tomar Re; Abin Sur; NautKeLoi; Hal Jordan,1:6 figure,Showcase Comics,99.99,,,,03.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
77,73,78,DC Direct/DC Collectibles,Harley Quinn,2008,,1:6 figure,Showcase Comics,79.99,,,,03.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005
